chr	start	end	strand	itr_id	gene	product	protein_id
NC_000913.3	1981587	1982387	-	1889	araH	trehalose-6-phosphate phosphatase, biosynthetic	ref|NP_416411.1|
NC_000913.3	1982554	1983540	-	1890	araG	L-arabinose ABC transporter permease	ref|YP_026162.2|
NC_000913.3	1983555	1985069	-	1891	araF	L-arabinose ABC transporter ATPase	ref|NP_416413.1|
NC_000913.3	1985139	1986128	-	1892	ftnB	L-arabinose ABC transporter periplasmic binding protein	ref|NP_416414.1|
NC_000913.3	1986925	1987428	+	1893	yecJ	ferritin B, putative ferrous iron reservoir	ref|NP_416415.1|
NC_000913.3	1987507	1987758	-	1894	azuC	DUF2766 family protein	ref|NP_416416.2|
NC_000913.3	1987873	1987959	-	1895	yecR	acid-inducible small membrane-associated protein	ref|YP_002791245.1|
NC_000913.3	1988222	1988545	+	1896	ftnA	lipoprotein, function unknown	ref|NP_416417.1|
NC_000913.3	1988716	1989213	+	1897	yecH	ferritin iron storage protein (cytoplasmic)	ref|NP_416418.1|
NC_000913.3	1989251	1989490	-	1898	tyrP	DUF2492 family protein	ref|NP_416419.1|
NC_000913.3	1989681	1990892	+	1899	yecA	tyrosine transporter	ref|NP_416420.1|
NC_000913.3	1990954	1991619	-	1900	pgsA	tRNA-Gly	ref|NP_416421.1|
NC_000913.3	1992269	1992817	-	1901	uvrC	phosphatidylglycerophosphate synthetase	ref|NP_416422.1|
NC_000913.3	1992874	1994706	-	1902	uvrY	excinuclease UvrABC, endonuclease subunit	ref|NP_416423.4|
NC_000913.3	1994703	1995359	-	1903	yecF	response regulator in two-component regulatory system with BarA	ref|NP_416424.1|
NC_000913.3	1995818	1996042	+	1904	sdiA	DUF2594 family protein	ref|NP_416425.1|
NC_000913.3	1996110	1996832	-	1905	yecC	quorum-sensing transcriptional activator	ref|NP_416426.1|
NC_000913.3	1997062	1997814	-	1906	yecS	putative ABC transporter ATPase	ref|NP_416427.1|
NC_000913.3	1997811	1998479	-	1907	dcyD	ABC family putative inner membrane permease	ref|NP_416428.1|
NC_000913.3	1998494	1999480	-	1908	fliY	D-cysteine desulfhydrase, PLP-dependent	ref|NP_416429.4|
NC_000913.3	1999585	2000385	-	1909	fliZ	cystine transporter subunit	ref|NP_416430.1|
NC_000913.3	2000473	2001024	-	1910	fliA	RpoS antagonist; putative regulator of FliA activity	ref|NP_416431.2|
NC_000913.3	2001070	2001789	-	1911	fliC	RNA polymerase, sigma 28 (sigma F) factor	ref|NP_416432.3|
NC_000913.3	2002110	2003606	-	1912	fliD	flagellar filament structural protein (flagellin)	ref|NP_416433.1|
NC_000913.3	2003872	2005278	+	1913	fliS	flagellar filament capping protein	ref|NP_416434.1|
NC_000913.3	2005303	2005713	+	1914	fliT	flagellar protein potentiates polymerization	ref|NP_416435.1|
NC_000913.3	2005713	2006078	+	1915	amyA	putative flagellar synthesis and assembly chaperone	ref|NP_416436.1|
NC_000913.3	2006156	2007643	+	1916	yedD	cytoplasmic alpha-amylase	ref|NP_416437.1|
NC_000913.3	2007677	2008090	-	1917	yedE	lipoprotein	ref|NP_416438.1|
NC_000913.3	2008277	2009482	+	1918	yedF	UPF0394 family sulphur transport domain-containing inner membrane protein	ref|NP_416439.1|
NC_000913.3	2009479	2009712	+	1919	yedK	putative TusA family sulfurtransferase	ref|NP_416440.1|
NC_000913.3	2009821	2010489	+	1920	yedL	DUF159 family protein	ref|YP_025310.1|
NC_000913.3	2010600	2011079	+	1921	yedN	GNAT family putative N-acetyltransferase	ref|NP_416442.1|
NC_000913.3	2012040	2012351	-	1922	intG	NA	NA
NC_000913.3	2012502	2012663	+	1923	fliE	NA	NA
NC_000913.3	2012700	2013014	-	1924	fliF	flagellar basal-body component	ref|NP_416447.1|
NC_000913.3	2013229	2014887	+	1925	fliG	flagellar basal-body MS-ring and collar protein	ref|NP_416448.1|
NC_000913.3	2014880	2015875	+	1926	fliH	flagellar motor switching and energizing component	ref|NP_416449.1|
NC_000913.3	2015868	2016554	+	1927	fliI	negative regulator of FliI ATPase activity	ref|NP_416450.2|
NC_000913.3	2016554	2017927	+	1928	fliJ	flagellum-specific ATP synthase	ref|NP_416451.1|
NC_000913.3	2017946	2018389	+	1929	fliK	flagellar protein	ref|NP_416452.1|
NC_000913.3	2018386	2019513	+	1930	fliL	flagellar hook-length control protein	ref|NP_416453.1|
NC_000913.3	2019618	2020082	+	1931	fliM	flagellar biosynthesis protein	ref|NP_416454.1|
NC_000913.3	2020087	2021091	+	1932	fliN	flagellar motor switching and energizing component	ref|NP_416455.1|
NC_000913.3	2021088	2021501	+	1933	fliO	flagellar motor switching and energizing component	ref|NP_416456.1|
NC_000913.3	2021504	2021869	+	1934	fliP	flagellar biosynthesis protein	ref|NP_416457.4|
NC_000913.3	2021869	2022606	+	1935	fliQ	flagellar biosynthesis protein	ref|NP_416458.1|
NC_000913.3	2022616	2022885	+	1936	fliR	flagellar biosynthesis protein	ref|NP_416459.1|
NC_000913.3	2022893	2023678	+	1937	rcsA	flagellar export pore protein	ref|NP_416460.1|
NC_000913.3	2023968	2024591	+	1938	dsrB	transcriptional regulator of colanic acid capsular biosynthesis	ref|NP_416461.1|
NC_000913.3	2024635	2024823	-	1939	yodD	uncharacterized protein	ref|NP_416462.1|
NC_000913.3	2024986	2025213	+	1940	yedP	sRNA antisense regulator enhances translation of RpoS, Hfq-dependent	ref|NP_416463.4|
NC_000913.3	2025511	2026326	+	1941	yedQ	putative mannosyl-3-phosphoglycerate phosphatase	ref|NP_416464.1|
NC_000913.3	2026323	2028017	-	1942	yodC	putative membrane-anchored diguanylate cyclase	ref|NP_416465.2|
NC_000913.3	2028188	2028370	-	1943	yedI	uncharacterized protein	ref|NP_416466.1|
NC_000913.3	2028449	2029366	-	1944	yedA	DUF808 family inner membrane protein	ref|NP_416467.1|
NC_000913.3	2029539	2030459	+	1945	vsr	amino acid exporter for phenylalanine, threonine	ref|NP_416468.1|
NC_000913.3	2030448	2030918	-	1946	dcm	DNA mismatch endonuclease of very short patch repair	ref|NP_416469.1|
NC_000913.3	2030899	2032317	-	1947	yedJ	DNA cytosine methyltransferase	ref|NP_416470.1|
NC_000913.3	2032384	2033079	-	1948	yedR	putative HD superfamily phosphohydrolase	ref|NP_416471.1|
NC_000913.3	2033119	2033484	-	1949	yedS	sRNA antisense regulator of ompA and ompC translation, Hfq-dependent	ref|NP_416472.2|
NC_000913.3	2034051	2034713	+	1950	hchA	NA	NA
NC_000913.3	2035835	2036686	+	1951	yedV	glyoxalase III and Hsp31 molecular chaperone	ref|NP_416476.1|
NC_000913.3	2036794	2038152	-	1952	yedW	putative sensory kinase in two-component regulatory system with YedW	ref|NP_416477.1|
NC_000913.3	2038152	2038823	-	1953	hiuH	response regulator family protein	ref|NP_416478.2|
NC_000913.3	2038956	2039369	+	1954	yedY	hydroxyisourate hydrolase	ref|NP_416479.1|
NC_000913.3	2039478	2040482	+	1955	yedZ	membrane-anchored, periplasmic TMAO, DMSO reductase	ref|NP_416480.1|
NC_000913.3	2040483	2041118	+	1956	zinT	inner membrane heme subunit for periplasmic YedYZ reductase	ref|NP_416481.1|
NC_000913.3	2041375	2042025	+	1957	yodB	zinc and cadmium binding protein, periplasmic	ref|NP_416482.1|
NC_000913.3	2042368	2042898	+	1958	mtfA	tRNA-Ser	ref|NP_416483.4|
NC_000913.3	2043651	2044448	+	1959	yeeJ	tRNA-Asn	ref|NP_416484.2|
NC_000913.3	2044938	2052014	+	1960	yeeL	putative adhesin	ref|NP_416485.4|
NC_000913.3	2052276	2053328	-	1961	shiA	NA	NA
NC_000913.3	2053643	2054959	+	1962	amn	shikimate transporter	ref|NP_416488.1|
NC_000913.3	2055061	2056515	+	1963	yeeN	AMP nucleosidase	ref|NP_416489.1|
NC_000913.3	2056858	2057574	+	1964	yeeO	tRNA-Asn	ref|NP_416490.1|
NC_000913.3	2058203	2059690	-	1965	cbl	tRNA-Asn	ref|NP_416491.2|
NC_000913.3	2059964	2060914	-	1966	nac	ssuEADCB/tauABCD operon transcriptional activator	ref|NP_416492.1|
NC_000913.3	2061016	2061933	-	1967	ldtA	tRNA-Asn	ref|NP_416493.1|
NC_000913.3	2062391	2063323	-	1968	cobT	L,D-transpeptidase linking Lpp to murein	ref|NP_416494.1|
NC_000913.3	2063388	2064467	-	1969	cobS	nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase	ref|NP_416495.1|
NC_000913.3	2064479	2065222	-	1970	cobU	cobalamin synthase	ref|NP_416496.1|
NC_000913.3	2065219	2065764	-	1971	yeeH	cobinamide kinase and cobinamide phosphate guanylyltransferase	ref|NP_416497.1|
NC_000913.3	2066068	2066154	-	1972	insH1	NA	NA
NC_000913.3	2066305	2067321	-	1973	yoeG	IS5 transposase and trans-activator	ref|NP_416498.1|
NC_000913.3	2067458	2067892	-	1974	yoeH	NA	NA
NC_000913.3	2068261	2068419	-	1975	yoeA	NA	NA
NC_000913.3	2068635	2068940	+	1976	insD1	NA	NA
NC_000913.3	2068952	2069857	-	1977	insC1	IS2 transposase TnpB	ref|NP_416500.1|
NC_000913.3	2069815	2070180	-	1978	yeeP	IS2 repressor TnpA	ref|YP_026163.2|
NC_000913.3	2070660	2071211	+	1979	flu	novel sRNA, CP4-44; putative prophage remnant	NA
NC_000913.3	2071539	2074658	+	1980	yeeR	CP4-44 prophage; antigen 43 (Ag43) phase-variable biofilm formation autotransporter	ref|YP_026164.1|
NC_000913.3	2074779	2076311	+	1981	yeeS	CP4-44 prophage; putative membrane protein	ref|NP_416505.2|
NC_000913.3	2076308	2076754	+	1982	yeeT	CP4-44 prophage; putative DNA repair protein	ref|NP_416506.1|
NC_000913.3	2076817	2077038	+	1983	cbeA	CP4-44 prophage; uncharacterized protein	ref|NP_416507.1|
NC_000913.3	2077112	2077480	+	1984	cbtA	CP4-44 prophage; cytoskeleton bundling-enhancing factor A; CbtA antitoxin	ref|NP_416508.1|
NC_000913.3	2077569	2077943	+	1985	yeeW	CP4-44 prophage; toxin of the YeeV-YeeU toxin-antitoxin system	ref|NP_416509.1|
NC_000913.3	2077940	2078107	+	1986	yoeD	NA	NA
NC_000913.3	2078549	2078677	-	1987	yoeF	NA	NA
NC_000913.3	2078746	2078931	+	1988	yeeX	NA	NA
NC_000913.3	2079032	2079361	-	1989	yeeA	UPF0265 family protein	ref|NP_416511.4|
NC_000913.3	2079533	2080591	-	1990	sbmC	putative transporter, FUSC family inner membrane protein	ref|NP_416512.1|
NC_000913.3	2080789	2081262	-	1991	dacD	DNA gyrase inhibitor	ref|NP_416513.1|
NC_000913.3	2081381	2082547	-	1992	sbcB	D-alanyl-D-alanine carboxypeptidase; penicillin-binding protein 6b	ref|NP_416514.4|
NC_000913.3	2082756	2084183	+	1993	yeeD	exodeoxyribonuclease I; exonuclease I	ref|NP_416515.1|
NC_000913.3	2084226	2084453	-	1994	yeeE	putative TusA family sulfurtransferase	ref|NP_416516.1|
NC_000913.3	2084467	2085525	-	1995	plaP	UPF0394 family inner membrane protein	ref|NP_416517.1|
NC_000913.3	2085704	2087062	-	1996	yoeI	putrescine importer, low affinity	ref|NP_416518.2|
NC_000913.3	2087052	2087114	-	1997	yeeY	uncharacterized protein	ref|YP_002791246.1|
NC_000913.3	2087329	2088258	-	1998	yeeZ	LysR family putative transcriptional regulator	ref|NP_416519.4|
NC_000913.3	2088304	2089128	-	1999	yoeB	putative epimerase	ref|NP_416520.1|
NC_000913.3	2089211	2089465	-	2000	yefM	toxin of the YoeB-YefM toxin-antitoxin system	ref|YP_588458.1|
NC_000913.3	2089462	2089713	-	2001	hisL	antitoxin of the YoeB-YefM toxin-antitoxin system	ref|NP_416521.2|
NC_000913.3	2089996	2090046	+	2002	hisG	his operon leader peptide	ref|NP_416522.1|
NC_000913.3	2090192	2091091	+	2003	hisD	ATP phosphoribosyltransferase	ref|NP_416523.1|
NC_000913.3	2091097	2092401	+	2004	hisC	bifunctional histidinal dehydrogenase/ histidinol dehydrogenase	ref|NP_416524.1|
NC_000913.3	2092398	2093468	+	2005	hisB	histidinol-phosphate aminotransferase	ref|NP_416525.1|
NC_000913.3	2093468	2094535	+	2006	hisH	histidinol-phosphatase and imidazoleglycerol-phosphate dehydratase	ref|NP_416526.4|
NC_000913.3	2094535	2095125	+	2007	hisA	imidazole glycerol phosphate synthase, glutamine amidotransferase subunit	ref|NP_416527.1|
NC_000913.3	2095125	2095862	+	2008	hisF	N-(5'-phospho-L-ribosyl-formimino)-5-amino-1-(5'-phosphoribosyl)-4-imidazolecarboxamide isomerase	ref|NP_416528.2|
NC_000913.3	2095844	2096620	+	2009	hisI	imidazole glycerol phosphate synthase, catalytic subunit with HisH	ref|NP_416529.1|
NC_000913.3	2096614	2097225	+	2010	wzzB	phosphoribosyl-AMP cyclohydrolase and phosphoribosyl-ATP pyrophosphatase	ref|NP_416530.1|
NC_000913.3	2097321	2098301	-	2011	ugd	regulator of length of O-antigen component of lipopolysaccharide chains	ref|NP_416531.4|
NC_000913.3	2098447	2099613	-	2012	gnd	UDP-glucose 6-dehydrogenase	ref|NP_416532.1|
NC_000913.3	2099862	2101268	-	2013	wbbL	6-phosphogluconate dehydrogenase, decarboxylating	ref|NP_416533.1|
NC_000913.3	2102944	2103389	-	2014	insH1	NA	NA
NC_000913.3	2101895	2102911	-	2015	wbbK	IS5 transposase and trans-activator	ref|NP_416535.1|
NC_000913.3	2103391	2104509	-	2016	wbbJ	lipopolysaccharide biosynthesis protein	ref|NP_416536.1|
NC_000913.3	2104494	2105084	-	2017	wbbI	putative lipopolysaccharide biosynthesis O-acetyl transferase	ref|NP_416537.1|
NC_000913.3	2105065	2106057	-	2018	wbbH	d-Galf:alpha-d-Glc beta-1,6-galactofuranosyltransferase	ref|NP_416538.1|
NC_000913.3	2106060	2107226	-	2019	glf	O-antigen polymerase	ref|NP_416539.1|
NC_000913.3	2107226	2108329	-	2020	wzxB	UDP-galactopyranose mutase, FAD/NAD(P)-binding	ref|NP_416540.1|
NC_000913.3	2108337	2109584	-	2021	rfbC	putative polisoprenol-linked O-antigen transporter	ref|NP_416541.1|
NC_000913.3	2109581	2110138	-	2022	rfbA	dTDP-4-deoxyrhamnose-3,5-epimerase	ref|NP_416542.1|
NC_000913.3	2110138	2111019	-	2023	rfbD	glucose-1-phosphate thymidylyltransferase	ref|NP_416543.1|
NC_000913.3	2111077	2111976	-	2024	rfbB	dTDP-L-rhamnose synthase, NAD(P)-dependent dTDP-4-dehydrorhamnose reductase subunit	ref|NP_416544.1|
NC_000913.3	2111976	2113061	-	2025	wcaN	dTDP-glucose 4,6 dehydratase, NAD(P)-binding	ref|NP_416545.1|
NC_000913.3	2113434	2114327	-	2026	wcaM	putative regulatory subunit for GalU	ref|NP_416546.1|
NC_000913.3	2114502	2115896	-	2027	wcaL	colanic acid biosynthesis protein	ref|NP_416547.1|
NC_000913.3	2115907	2117127	-	2028	wcaK	putative glycosyl transferase	ref|NP_416548.1|
NC_000913.3	2117124	2118404	-	2029	wzxC	colanic acid biosynthesis protein	ref|NP_416549.1|
NC_000913.3	2118680	2120158	-	2030	wcaJ	putative colanic acid exporter	ref|NP_416550.1|
NC_000913.3	2120160	2121554	-	2031	cpsG	colanic biosynthesis UDP-glucose lipid carrier transferase	ref|NP_416551.1|
NC_000913.3	2121609	2122979	-	2032	cpsB	phosphomannomutase	ref|NP_416552.1|
NC_000913.3	2123084	2124520	-	2033	wcaI	mannose-1-phosphate guanyltransferase	ref|NP_416553.1|
NC_000913.3	2124523	2125746	-	2034	wcaH	putative glycosyl transferase	ref|NP_416554.1|
NC_000913.3	2125743	2126222	-	2035	wcaG	GDP-mannose mannosyl hydrolase	ref|NP_416555.2|
NC_000913.3	2126225	2127190	-	2036	gmd	bifunctional GDP-fucose synthetase: GDP-4-dehydro-6-deoxy-D-mannose epimerase/ GDP-4-dehydro-6-L-deoxygalactose reductase	ref|NP_416556.1|
NC_000913.3	2127193	2128314	-	2037	wcaF	GDP-D-mannose dehydratase, NAD(P)-binding	ref|NP_416557.1|
NC_000913.3	2128340	2128888	-	2038	wcaE	putative acyl transferase	ref|NP_416558.1|
NC_000913.3	2128904	2129650	-	2039	wcaD	putative glycosyl transferase	ref|NP_416559.1|
NC_000913.3	2129661	2130878	-	2040	wcaC	putative colanic acid polymerase	ref|NP_416560.1|
NC_000913.3	2130853	2132070	-	2041	wcaB	putative glycosyl transferase	ref|NP_416561.1|
NC_000913.3	2132067	2132555	-	2042	wcaA	putative acyl transferase	ref|NP_416562.1|
NC_000913.3	2132558	2133397	-	2043	wzc	putative glycosyl transferase	ref|NP_416563.1|
NC_000913.3	2133490	2135652	-	2044	wzb	colanic acid production tyrosine-protein kinase; autokinase; Ugd phosphorylase	ref|NP_416564.4|
NC_000913.3	2135655	2136098	-	2045	wza	colanic acid production protein-tyrosine-phosphatase; Wzc-P dephosphorylase	ref|NP_416565.1|
NC_000913.3	2136104	2137243	-	2046	yegH	colanic acid export protein; outer membrane auxillary lipoprotein	ref|NP_416566.1|
NC_000913.3	2137902	2139485	+	2047	asmA	inner membrane protein	ref|NP_416567.4|
NC_000913.3	2139759	2141612	-	2048	dcd	suppressor of OmpF assembly mutants; putative outer membrane protein assembly factor; inner membrane-anchored periplasmic protein	ref|NP_416568.1|
NC_000913.3	2141634	2142215	-	2049	udk	deoxycytidine triphosphate deaminase; dCTP deaminase	ref|NP_416569.1|
NC_000913.3	2142307	2142948	-	2050	yegE	uridine/cytidine kinase	ref|NP_416570.2|
NC_000913.3	2143266	2146583	+	2051	alkA	putative diguanylate cyclase	ref|NP_416571.1|
NC_000913.3	2146692	2147540	-	2052	yegD	3-methyl-adenine DNA glycosylase II	ref|NP_416572.1|
NC_000913.3	2147674	2149026	+	2053	yegI	Hsp70 chaperone family protein	ref|NP_416573.4|
NC_000913.3	2149039	2150985	-	2054	yegJ	protein kinase-related putative non-specific DNA-binding protein	ref|NP_416574.1|
NC_000913.3	2151185	2151646	+	2055	yegK	uncharacterized protein	ref|NP_416575.1|
NC_000913.3	2151711	2152472	-	2056	yegL	ser/thr phosphatase-related protein	ref|NP_416576.1|
NC_000913.3	2152469	2153128	-	2057	ibsA	sRNA antisense regulator of toxic IbsA protein	ref|NP_416577.1|
NC_000913.3	2153349	2153408	-	2058	ibsB	sRNA antisense regulator of toxic IbsB protein	ref|YP_002791247.1|
NC_000913.3	2153681	2153737	-	2059	mdtA	toxic membrane protein	ref|YP_002791248.1|
NC_000913.3	2154016	2155263	+	2060	mdtB	multidrug efflux system, subunit A	ref|NP_416578.2|
NC_000913.3	2155263	2158385	+	2061	mdtC	multidrug efflux system, subunit B	ref|NP_416579.1|
NC_000913.3	2158386	2161463	+	2062	iceT	multidrug efflux system, subunit C	ref|NP_416580.1|
NC_000913.3	2161464	2162879	+	2063	baeS	putative citrate/iron-citrate/zinc-citrate efflux transporter	ref|NP_416581.1|
NC_000913.3	2162876	2164279	+	2064	baeR	sensory histidine kinase in two-component regulatory system with BaeR	ref|NP_416582.1|
NC_000913.3	2164276	2164998	+	2065	yegP	response regulator in two-component regulatory system with BaeS	ref|NP_416583.1|
NC_000913.3	2165189	2165521	+	2066	yegQ	UPF0339 family protein	ref|NP_416584.4|
NC_000913.3	2165668	2167029	+	2067	ogrK	sRNA antisense regulator of ompX mRNA instability, Hfq-dependent, cAMP-induced	ref|NP_416585.1|
NC_000913.3	2167302	2167520	-	2068	yegZ	orphan Ogr protein, positive regulator of P2 growth	ref|NP_416586.1|
NC_000913.3	2167602	2167814	-	2069	yegR	NA	NA
NC_000913.3	2167989	2168306	-	2070	yegS	uncharacterized protein	ref|NP_416589.2|
NC_000913.3	2168712	2169611	+	2071	gatR	phosphatidylglycerol kinase, metal-dependent	ref|NP_416590.1|
NC_000913.3	2171429	2171727	-	2072	insE1	NA	NA
NC_000913.3	2170236	2170535	+	2073	insF1	IS3 transposase A	ref|NP_416592.2|
NC_000913.3	2170532	2171398	+	2074	gatD	IS3 transposase B	ref|NP_416593.1|
NC_000913.3	2171833	2172873	-	2075	gatC	galactitol-1-phosphate dehydrogenase, Zn-dependent and NAD(P)-binding	ref|NP_416594.1|
NC_000913.3	2173365	2174278	-	2076	gatB	NA	NA
NC_000913.3	2174282	2174566	-	2077	gatA	galactitol-specific enzyme IIB component of PTS	ref|NP_416596.1|
NC_000913.3	2174597	2175049	-	2078	gatZ	galactitol-specific enzyme IIA component of PTS	ref|NP_416597.1|
NC_000913.3	2175059	2176321	-	2079	gatY	D-tagatose 1,6-bisphosphate aldolase 2, subunit	ref|NP_416598.1|
NC_000913.3	2176350	2177204	-	2080	fbaB	D-tagatose 1,6-bisphosphate aldolase 2, catalytic subunit	ref|NP_416599.2|
NC_000913.3	2177512	2178564	-	2081	yegT	fructose-bisphosphate aldolase class I	ref|NP_416600.4|
NC_000913.3	2178821	2180098	+	2082	yegU	nucleoside transporter, low affinity	ref|NP_416601.1|
NC_000913.3	2180095	2181099	+	2083	yegV	ADP-ribosylglycohydrolase family protein	ref|NP_416602.1|
NC_000913.3	2181096	2182061	+	2084	yegW	putative kinase	ref|NP_416603.1|
NC_000913.3	2182035	2182781	-	2085	yegX	putative DNA-binding transcriptional regulator	ref|NP_416604.1|
NC_000913.3	2182833	2183651	-	2086	thiD	putative family 25 glycosyl hydrolase	ref|NP_416605.2|
NC_000913.3	2183716	2184516	-	2087	thiM	hydroxy-methylpyrimidine kinase and hydroxy-phosphomethylpyrimidine kinase	ref|NP_416606.1|
NC_000913.3	2184513	2185301	-	2088	rcnR	hydoxyethylthiazole kinase	ref|NP_416607.1|
NC_000913.3	2185524	2185796	-	2089	rcnA	transcriptional repressor of rcnA	ref|NP_416608.1|
NC_000913.3	2185917	2186741	+	2090	rcnB	membrane protein conferring nickel and cobalt resistance	ref|NP_416609.1|
NC_000913.3	2186960	2187298	+	2091	yehA	periplasmic modulator of Ni and Co efflux	ref|NP_416610.4|
NC_000913.3	2187380	2188414	-	2092	yehB	putative fimbrial-like adhesin protein	ref|NP_416611.1|
NC_000913.3	2188430	2190910	-	2093	yehC	putative outer membrane protein	ref|NP_416612.1|
NC_000913.3	2190926	2191645	-	2094	yehD	putative periplasmic pilin chaperone	ref|NP_416613.1|
NC_000913.3	2191680	2192222	-	2095	yehE	putative fimbrial-like adhesin protein	ref|NP_416614.1|
NC_000913.3	2192515	2192796	-	2096	mrp	DUF2574 family protein	ref|NP_416615.1|
NC_000913.3	2193059	2194168	-	2097	metG	antiporter inner membrane protein	ref|NP_416616.4|
NC_000913.3	2194300	2196333	+	2098	yehH	methionyl-tRNA synthetase	ref|NP_416617.1|
NC_000913.3	2196474	2199320	+	2099	yehI	NA	NA
NC_000913.3	2200279	2203911	+	2100	yehK	DUF4132 domain-containing protein	ref|NP_416621.1|
NC_000913.3	2203972	2204289	+	2101	yehL	uncharacterized protein	ref|YP_588459.1|
NC_000913.3	2204596	2205684	+	2102	yehM	putative hexameric AAA+ MoxR family ATPase	ref|NP_416623.2|
NC_000913.3	2205695	2207974	+	2103	yehP	uncharacterized protein	ref|NP_416624.1|
NC_000913.3	2207967	2209103	+	2104	yehQ	VMA domain putative YehL ATPase stimulator	ref|NP_416625.1|
NC_000913.3	2209100	2211100	+	2105	yehR	NA	NA
NC_000913.3	2211225	2211686	+	2106	yehS	lipoprotein, DUF1307 family	ref|NP_416627.2|
NC_000913.3	2211726	2212196	-	2107	yehT	DUF1456 family protein	ref|NP_416628.1|
NC_000913.3	2212243	2212962	-	2108	yehU	putative response regulator in two-component system withYehU	ref|NP_416629.4|
NC_000913.3	2212959	2214644	-	2109	mlrA	inner membrane putative sensory kinase in two-component system with YehT	ref|NP_416630.1|
NC_000913.3	2214866	2215597	+	2110	yohO	transcriptional activator of csgD and csgBA	ref|NP_416631.1|
NC_000913.3	2215657	2215764	+	2111	yehW	putative membrane protein	ref|YP_588460.1|
NC_000913.3	2215745	2216476	-	2112	yehX	putative ABC transporter permease	ref|NP_416632.1|
NC_000913.3	2216481	2217407	-	2113	yehY	putative ABC transporter ATPase	ref|NP_416633.1|
NC_000913.3	2217400	2218557	-	2114	osmF	putative ABC transporter permease	ref|NP_416634.1|
NC_000913.3	2218564	2219481	-	2115	bglX	putative ABC transporter periplasmic binding protein	ref|NP_416635.1|
NC_000913.3	2219692	2221989	-	2116	dld	beta-D-glucoside glucohydrolase, periplasmic	ref|NP_416636.1|
NC_000913.3	2222185	2223900	+	2117	pbpG	D-lactate dehydrogenase, FAD-binding, NADH independent	ref|NP_416637.1|
NC_000913.3	2223938	2224870	-	2118	yohC	D-alanyl-D-alanine endopeptidase	ref|NP_416638.4|
NC_000913.3	2225044	2225631	-	2119	yohD	Yip1 family inner membrane protein	ref|NP_416639.2|
NC_000913.3	2225801	2226379	+	2120	yohF	DedA family inner membrane protein	ref|NP_416640.2|
NC_000913.3	2226509	2227270	-	2121	mdtQ	putative oxidoreductase	ref|NP_416641.1|
NC_000913.3	2228609	2228758	-	2122	yohP	NA	NA
NC_000913.3	2228982	2229065	+	2123	dusC	uncharacterized protein	ref|YP_002791249.1|
NC_000913.3	2229438	2230385	-	2124	yohJ	tRNA-dihydrouridine synthase C	ref|NP_416645.1|
NC_000913.3	2230624	2231022	+	2125	yohK	UPF0299 family inner membrane protein	ref|NP_416646.1|
NC_000913.3	2231019	2231714	+	2126	cdd	LrgB family inner membrane protein	ref|NP_416647.1|
NC_000913.3	2231844	2232728	+	2127	sanA	cytidine/deoxycytidine deaminase	ref|NP_416648.1|
NC_000913.3	2232878	2233597	+	2128	yeiS	DUF218 superfamily vancomycin high temperature exclusion protein	ref|NP_416649.1|
NC_000913.3	2233600	2233839	+	2129	preT	DUF2542 family protein	ref|NP_416650.1|
NC_000913.3	2234033	2235271	+	2130	preA	dihydropyrimidine dehydrogenase, NADH-dependent, subunit N	ref|NP_416651.1|
NC_000913.3	2235265	2236500	+	2131	mglC	dihydropyrimidine dehydrogenase, NADH-dependent, subunit C	ref|NP_416652.4|
NC_000913.3	2236743	2237753	-	2132	mglA	methyl-galactoside transporter subunit	ref|NP_416653.1|
NC_000913.3	2237769	2239289	-	2133	mglB	methyl-galactoside ABC transporter ATPase	ref|NP_416654.1|
NC_000913.3	2239350	2240348	-	2134	galS	methyl-galactoside transporter subunit	ref|NP_416655.1|
NC_000913.3	2240628	2241668	-	2135	yeiB	galactose- and fucose-inducible galactose regulon transcriptional isorepressor; mgl operon transcriptional repressor; autorepressor	ref|NP_416656.1|
NC_000913.3	2241810	2242967	-	2136	folE	DUF418 family putative inner membrane protein	ref|NP_416657.1|
NC_000913.3	2242984	2243652	-	2137	yeiG	GTP cyclohydrolase I	ref|NP_416658.1|
NC_000913.3	2243910	2244746	+	2138	cirA	S-formylglutathione hydrolase	ref|NP_416659.1|
NC_000913.3	2244778	2246769	-	2139	lysP	colicin IA outer membrane receptor and translocator; ferric iron-catecholate transporter	ref|NP_416660.1|
NC_000913.3	2247063	2248532	-	2140	yeiE	lysine transporter	ref|NP_416661.1|
NC_000913.3	2248737	2249618	-	2141	yeiH	putative DNA-binding transcriptional regulator	ref|NP_416662.1|
NC_000913.3	2249717	2250766	+	2142	nfo	UPF0324 family inner membrane protein	ref|NP_416663.1|
NC_000913.3	2250840	2251697	+	2143	yeiI	endonuclease IV with intrinsic 3'-5' exonuclease activity	ref|NP_416664.1|
NC_000913.3	2251700	2252788	+	2144	nupX	putative kinase	ref|NP_416665.1|
NC_000913.3	2252895	2254145	-	2145	rihB	nucleoside permease	ref|NP_416666.1|
NC_000913.3	2254245	2255186	-	2146	yeiL	ribonucleoside hydrolase 2	ref|NP_416667.1|
NC_000913.3	2255355	2256014	+	2147	psuT	putative transcriptional regulator	ref|NP_416668.3|
NC_000913.3	2256085	2257335	-	2148	psuG	putative nucleoside transporter	ref|NP_416669.1|
